Type ouvrage;Code ligne 1;Nom ligne 1;Propriétaire ligne 1;Etat;TENSION;Source donnée;Geo Shape;Nombre circuit;Code ligne 2;Nom ligne 2;Propriétaire ligne 2;Code ligne 3;Nom ligne 3;Propriétaire ligne 3;Code ligne 4;Nom ligne 4;Propriétaire ligne 4;Code ligne 5;Nom ligne 5;Proprietaire ligne 5;geo_point_2d
AERIEN;BERANL61BONNI;LIAISON 225kV N0 1 BERANVILLE-BONNIERES;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[1.5588353147, 49.0280612439], [1.558208288, 49.0243907152]], ""type"": ""LineString""}";2;BONNIL41GROUX;LIAISON 90kV N0 1 BONNIERES-GROUX (LES);MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.02622597955, 1.55852180135
AERIEN;P.GASL61PERSA;LIAISON 225kV N0 1 PLESSIS-GASSOT - PERSAN;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.4353535912, 49.043269806], [2.4312135351, 49.0464865533], [2.4267913292, 49.0496970685], [2.4219261871, 49.0532635713], [2.4174330214, 49.0564288417], [2.4126935929, 49.0598771463], [2.4090143283, 49.0640461876], [2.4058807238, 49.0676262129], [2.4023642299, 49.0715972386], [2.398351356, 49.0761309156], [2.3945450355, 49.0804334071], [2.3919031214, 49.0834718396], [2.3902466473, 49.0876132146], [2.3883674727, 49.0923405138], [2.3870203227, 49.0957385644], [2.3840570546, 49.0963211377], [2.3822538497, 49.0981881508], [2.3791036858, 49.1013836867], [2.376429033, 49.1041117227], [2.3735079233, 49.107090465], [2.370464739, 49.1101904663], [2.3665161856, 49.1128898551], [2.3626614696, 49.1151883351], [2.3589606459, 49.117390781], [2.3583187081, 49.1198858893], [2.3581056297, 49.1243796301], [2.355714478, 49.1261500623], [2.3534109135, 49.1278790092], [2.3490557702, 49.129410814], [2.3444663848, 49.131099538], [2.3392165787, 49.1303557628], [2.3336615429, 49.1303395636], [2.3284500787, 49.1310006279], [2.324141009, 49.1315295677], [2.3201601228, 49.131895589], [2.3136941715, 49.1325773925], [2.3072306462, 49.13326873], [2.3034208506, 49.1337816841], [2.2987572985, 49.1339602642], [2.2955784174, 49.1340694615], [2.2919976355, 49.1340016834], [2.2888900751, 49.1345575707], [2.2853168571, 49.1337492045], [2.2824278322, 49.1321889709], [2.2796142728, 49.1306466717], [2.276094804, 49.128732853], [2.2718381372, 49.126411491], [2.2673653705, 49.1272607959], [2.262108097, 49.1289262164]], ""type"": ""LineString""}";2;CERGYL61P.GAS;RES. LIAISON 225kV N0 1 CERGY - PLESSIS-GASSOT;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.105095263967065, 2.35528403600895
AERIEN;ARGOEL61ZH.B5;LIAISON 225kV N0 1 ARGOEUVES - BLOCAUX - HORNOY-LE-BOURG;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.246329321, 49.9381421629], [2.2452009774, 49.9388206061], [2.2403532571, 49.9405942014], [2.2360339349, 49.9426680918], [2.2308181142, 49.9441727247], [2.2272244989, 49.9442385881], [2.2233072306, 49.9440777935], [2.2187708129, 49.9433578348], [2.2138391312, 49.9427629897], [2.207329119, 49.9419696234], [2.2046013748, 49.9397230464], [2.2024082625, 49.9379115392], [2.1985071497, 49.9366151814], [2.1942865709, 49.9352142241], [2.1904178363, 49.9339158885], [2.1871397093, 49.9328632611], [2.1846566866, 49.9320162404], [2.1814553643, 49.930942006], [2.1780914969, 49.9298531076], [2.1749182402, 49.9287868147], [2.1716700065, 49.9277230287], [2.1671244976, 49.9261976715], [2.1637905268, 49.9250877635], [2.1602497047, 49.9239164109], [2.1565132692, 49.9226593706], [2.1531672368, 49.9215518425], [2.1499672411, 49.9204767656], [2.1456979063, 49.9190704273], [2.1427925884, 49.9181060536], [2.1390249807, 49.9168618843], [2.1354922932, 49.9156799353], [2.1321417995, 49.914561216], [2.1286759332, 49.9134032401], [2.1243509304, 49.9119601308], [2.1210895959, 49.9108814804], [2.1173814143, 49.9096439161], [2.1140565716, 49.9085317396], [2.110436173, 49.9073264428], [2.1067937184, 49.9061174033], [2.1032930596, 49.9049462343], [2.1001867369, 49.9039077136], [2.0959797927, 49.9025284708], [2.0924615579, 49.9013542745], [2.0887436345, 49.9001158209], [2.0848982366, 49.8988320983], [2.0811390251, 49.8975852432], [2.0773022964, 49.8963120675], [2.0733243056, 49.8949783074], [2.0700832632, 49.8938866524], [2.0678522459, 49.8931553863], [2.064281221, 49.8919595918], [2.0611695322, 49.8909200584], [2.0577028555, 49.8897602167], [2.0541406533, 49.8885632393], [2.0505216741, 49.8873606353], [2.0473563901, 49.8863143295], [2.0439694021, 49.8851803133], [2.0406407382, 49.8840786668], [2.0373497433, 49.8829761205], [2.034193401, 49.8819196096], [2.0309970041, 49.8808449571], [2.0261491897, 49.879229089], [2.0236353532, 49.8783777522], [2.0209440156, 49.8774845984], [2.0171172532, 49.8762121986], [2.0138328103, 49.8751135082], [2.0102698569, 49.8739214979], [2.0068304217, 49.8727746096], [2.0035855417, 49.8716425213], [2.0003152701, 49.8705901842], [1.9972644204, 49.8695688964], [1.9927320172, 49.868054002], [1.9892573183, 49.8668984217], [1.9861170208, 49.8658191286], [1.9825094154, 49.864643215], [1.9789216328, 49.8634376201], [1.9753021438, 49.8622219467], [1.9711299524, 49.8608231286], [1.967370801, 49.8595735714], [1.9640980924, 49.8584932941], [1.9606802669, 49.8573352591], [1.9570173915, 49.8560946527], [1.9530427663, 49.8547811171], [1.9482900484, 49.8531821259], [1.9446263598, 49.8519447268], [1.9412009275, 49.8508067601], [1.9378076227, 49.84966431], [1.9342772924, 49.8484844955], [1.9306799275, 49.8471992975], [1.9270562902, 49.8459228812], [1.9230840789, 49.8445050942], [1.9194483451, 49.8432266084], [1.9151815879, 49.8417159581], [1.9127063508, 49.8408426532], [1.9093896195, 49.8396646415], [1.9063276462, 49.8385871076], [1.9038832024, 49.8377200141], [1.9012150468, 49.8368852908], [1.897003127, 49.8355815814], [1.8938354472, 49.8346045085]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.89344304950674, 2.0701560972362216
AERIEN;BEZAUL61VANDI;LIAISON 225kV N0 1 BEZAUMONT-VANDIERES;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[6.0216070126, 48.9497347315], [6.0215282573, 48.9500957795]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.9499152555, 6.021567634949999
AERIEN;LUMESL62MAZUR;LIAISON 225kV N0 2 LUMES-MAZURES;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.6774553595, 49.8818538774], [4.6790647716, 49.8792080211], [4.6812012282, 49.8756832876], [4.6855397698, 49.8685428884], [4.6871217393, 49.8659331933], [4.6896926917, 49.8617103389], [4.6950568478, 49.8574846073], [4.6982261589, 49.8549874631], [4.7010429644, 49.8527647101], [4.7032101444, 49.8510721251], [4.709005114, 49.8464982194], [4.7133237846, 49.8430949287], [4.7171141501, 49.8401122507], [4.7220137362, 49.836251137], [4.722997006, 49.8340985817], [4.7230134012, 49.832525787], [4.7230226407, 49.8270351446], [4.7230186242, 49.8240338244], [4.7230865315, 49.814929823], [4.7237737573, 49.8136072491], [4.7318059478, 49.8056915658], [4.7357803686, 49.8017834902], [4.7396044243, 49.7980013949], [4.7436304561, 49.7940536167], [4.7483482215, 49.7894020695], [4.7513208996, 49.7864711151], [4.757991243, 49.7798804367], [4.7603656371, 49.7775383638], [4.7648853616, 49.7731081173], [4.77020133, 49.7703394466], [4.7742831716, 49.7678096059], [4.7772420635, 49.7657147641], [4.7808205228, 49.763172256], [4.7845821686, 49.7606395862], [4.788369045, 49.7580856119], [4.7932074283, 49.7547917385], [4.7970992759, 49.7521694776], [4.797559256, 49.7490765667], [4.7966434126, 49.7481580961]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.81195142454993, 4.734476808767275
AERIEN;LANEUL61SUIS5;LIAISON 225kV N0 1 LANEUVEVILLE-SUISSE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[6.2379700585, 48.650788559], [6.2442134955, 48.652590151], [6.2500494174, 48.6543206408], [6.2559354214, 48.6560198588], [6.262506958, 48.6579177655], [6.2673038811, 48.6593761126], [6.2728298415, 48.6610573914], [6.2789846187, 48.6629011157], [6.2837025818, 48.6643195116], [6.2895278703, 48.6660970884], [6.2936390402, 48.6673042101], [6.3007502547, 48.6694606232], [6.30752397, 48.6714919562], [6.3137558288, 48.6733731461], [6.3215788555, 48.673783753], [6.329717384, 48.6742128368], [6.3353469316, 48.6780759879], [6.3390543756, 48.6813562839], [6.3441761234, 48.6858247057], [6.3504300518, 48.6894211939], [6.3573838713, 48.6933793177], [6.3624712262, 48.6962977758], [6.3653254313, 48.7014432163], [6.3676475382, 48.705669197], [6.370511969, 48.7108520584], [6.3733084677, 48.7158603042], [6.3761169235, 48.7209383693], [6.3786680894, 48.7255015841], [6.3810705861, 48.729863614], [6.3836734404, 48.7345620331], [6.3862035184, 48.7390940317], [6.3882425855, 48.7427442445], [6.3904103518, 48.7466761432], [6.392793656, 48.7509430062], [6.3953937026, 48.7556268597], [6.397840506, 48.7600197015], [6.4003736757, 48.7646043891], [6.4034532733, 48.7701448494], [6.4058091086, 48.7743546995], [6.4085000426, 48.7791841017], [6.4119179564, 48.7853736171], [6.4137789755, 48.7886836207], [6.4164252722, 48.7934529006], [6.4196812834, 48.7981425933], [6.4230784345, 48.8030423499], [6.4263720043, 48.8078072442], [6.4293876388, 48.8120867118], [6.4331264027, 48.8174885947], [6.4363532438, 48.8221237616], [6.4399655151, 48.8273417907], [6.4434708092, 48.8323530802], [6.4470004938, 48.8373951072], [6.450141548, 48.8419107509], [6.4539890517, 48.8474249697], [6.4553742449, 48.8494209786]], ""type"": ""LineString""}";2;LANEUL61ZSAU9;LIAISON 225kV N0 1 LANEUVEVILLE - SAULNOIS - ST-AVOLD;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;48.72955820199941, 6.361960369622361
AERIEN;DARSEL62RELA5;LIAISON 225kV N0 2 DARSE-RELAIS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.8441756276, 43.4406566082], [4.8456495456, 43.4380956073], [4.8476089189, 43.4348495738], [4.8492239726, 43.4321546903], [4.8504244021, 43.4293175006]], ""type"": ""LineString""}";2;DARSEL62RELA5;LIAISON 225kV N0 2 DARSE-RELAIS;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;43.435051847398086, 4.84743001656939
AERIEN;DARSEL62RELA5;LIAISON 225kV N0 2 DARSE-RELAIS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.8441756276, 43.4406566082], [4.8462714905, 43.4415443005], [4.8489919259, 43.4424148909], [4.8494064247, 43.4427019476]], ""type"": ""LineString""}";1;;;;;;;;;;;;;43.441676369526235, 4.846799494744888
AERIEN;GIVORL62MIONS;LIAISON 225kV N0 2 GIVORS - MIONS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.7872820001, 45.5717974133], [4.7881384837, 45.5709493948], [4.791556481, 45.5688483367], [4.7961581902, 45.5682693041], [4.7988356392, 45.5695425385], [4.8027538231, 45.5704733442], [4.805412714, 45.5707243388], [4.8063545223, 45.5699195708], [4.8062359355, 45.5692741198], [4.8092865942, 45.5696891911], [4.814810568, 45.5703817417], [4.8210127369, 45.5711703982], [4.8271668281, 45.5710029755], [4.8317505208, 45.5729882845], [4.8388835951, 45.5760747824], [4.8450788084, 45.5787457703], [4.852744822, 45.5820590879], [4.8574031855, 45.5840830315], [4.8612668918, 45.5857437888], [4.8708267733, 45.5898611909], [4.8739447808, 45.5911153543], [4.878896721, 45.5930765215], [4.8858605731, 45.5958612046], [4.8912651481, 45.5980168599], [4.8988259783, 45.6010321495], [4.9054357454, 45.6036486549], [4.9118335196, 45.606201793], [4.9166226132, 45.6081155709], [4.9221625401, 45.6102966195], [4.931913123, 45.6141567625], [4.9360731203, 45.6158263414], [4.9399925517, 45.6177201029], [4.9444817067, 45.6205069141], [4.9504557528, 45.6242175691], [4.9525635816, 45.630221866], [4.9537915057, 45.6337100736], [4.9552052622, 45.6377304204], [4.9567599356, 45.6421192258], [4.9571489918, 45.6461995299], [4.9575154921, 45.6500742266], [4.9580414382, 45.6556536991]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.59820910625647, 4.882696463553227
AERIEN;VLEJUL61ZROBI;LIAISON 225kV N0 1 CHATILLON (CLAMART) - ROBINSON - VILLEJUST;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.227732464, 48.6797210944], [2.225870862, 48.6828050944], [2.2286900526, 48.6855465475], [2.231892782, 48.6880932154], [2.2351697005, 48.690354017], [2.2397707466, 48.6925834564], [2.2435497693, 48.6945909508], [2.2466311949, 48.6965771182], [2.2504307068, 48.6996612328], [2.2528148388, 48.7024080601], [2.2570899726, 48.7057346263], [2.2590074356, 48.7077308193], [2.2623025893, 48.7112816075]], ""type"": ""LineString""}";2;VLEJUL62ZROB5;LIAISON 225kV N0 2 CHATILLON (CLAMART) - ROBINSON - VILLEJUST;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;48.695370770308664, 2.2432816723692826
AERIEN;VLEJUL62ZROB5;LIAISON 225kV N0 2 CHATILLON (CLAMART) - ROBINSON - VILLEJUST;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.227732464, 48.6797210944], [2.2310537104, 48.6780134902]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.6788672923, 2.2293930872
AERIEN;FEUILL61SSCHA;LIAISON 225kV N0 1 FEUILLANE-ST-CHAMAS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.9854446725, 43.4830948948], [4.9839179454, 43.4866327126], [4.9816968119, 43.4918330044], [4.9842671871, 43.4944984085], [4.986792406, 43.4970927373], [4.9891877735, 43.4996137823], [4.9931222065, 43.5037256113], [4.9940080489, 43.5063444932], [4.9979896554, 43.5115749339], [5.0019720917, 43.5168020124], [5.0018117107, 43.5190590217], [5.0014297033, 43.5243614132], [5.0011287846, 43.5286017675], [5.0008532167, 43.5323751676], [4.9992402189, 43.5350770843], [4.9975582994, 43.5378683558], [4.995410189, 43.5405269256], [4.9940613521, 43.543688266], [4.9973652003, 43.5484300474], [5.0003463937, 43.5527366444], [5.0036743167, 43.5575344395], [5.0074505791, 43.5630332203], [5.0135081859, 43.5669234494], [5.0176431572, 43.5695837333], [5.0200267051, 43.5719272031], [5.0270403336, 43.5731456705], [5.0329148093, 43.572004402], [5.0398125006, 43.5706500827], [5.0447421264, 43.5697425821], [5.0470907672, 43.5700793988]], ""type"": ""LineString""}";2;RASSUL61S.AIR;LIAISON 225kV N0 1 RASSUEN - SALON-BEL-AIR;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;43.537604565710886, 5.00535664035083
AERIEN;LIERSL61LOGES;LIAISON 225kV N0 1 LIERS-LOGES (LES);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.2779983498, 48.5912392973], [2.2786038953, 48.5865504219]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.5888948596, 2.27830112255
AERIEN;G.SYNL61WESTH;LIAISON 225kV N0 1 GRANDE-SYNTHE -WESTHOUCK (COPENOR G.I.E.);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.2802664314, 51.0115032269], [2.2813581256, 51.0100056743], [2.2779887471, 51.0100175407], [2.2692961901, 51.0099081494], [2.2668252228, 51.0057326271], [2.2611976521, 51.0042796211], [2.2534454635, 51.0032696012], [2.2509992494, 51.0078428008], [2.2509992819, 51.0078430046], [2.2517063594, 51.0122657452], [2.2524180006, 51.0166891067], [2.2530911908, 51.021063997], [2.2537831016, 51.0254500741], [2.251323753, 51.0279728755], [2.2491020115, 51.0302492578], [2.2484954691, 51.0316299302]], ""type"": ""LineString""}";2;G.SYNL62WESTH;LIAISON 225kV N0 2 GRANDE-SYNTHE - WESTHOUCK(COPENOR G.I.E.);MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;51.01250704967409, 2.2602331919564764
AERIEN;BARBUL61CRENE;LIAISON 225kV N0 1 BARBUISE - CRENEY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[3.5885600592, 48.5604196726], [3.5916269625, 48.5616251292], [3.5919963486, 48.5613219149]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.561079537872615, 3.5903111233176634
AERIEN;GRANZL61SSFLO;LIAISON 225kV N0 1 GRANZAY-ST-FLORENT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[-0.4764924386, 46.3028356367], [-0.4796737625, 46.3006258433], [-0.4820701476, 46.2967143253], [-0.4838760017, 46.293687121], [-0.4855811554, 46.2909033059], [-0.4873366126, 46.2880911992], [-0.4908058575, 46.2847762599], [-0.4936326809, 46.2821002518], [-0.496262631, 46.2796136493], [-0.4998449936, 46.2762226512], [-0.5026075627, 46.2736011265], [-0.5052823618, 46.2710690555], [-0.5071260933, 46.2693329347], [-0.5082201385, 46.2657718153], [-0.5091348167, 46.2628300883], [-0.5102277465, 46.2593022811], [-0.5111594892, 46.2563186903], [-0.5120938491, 46.2532629992], [-0.5130396676, 46.2502547251], [-0.5140824797, 46.2468451684], [-0.5152391289, 46.2431338323], [-0.5162707536, 46.2397884503], [-0.5171597724, 46.2369184069], [-0.5182837709, 46.2333347938], [-0.5161119544, 46.2301601885], [-0.5136150055, 46.2264436567], [-0.5146528688, 46.2220807937]], ""type"": ""LineString""}";2;GRANZL62SSFLO;LIAISON 225kV N0 2 GRANZAY - ST-FLORENT;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;46.26455499258151, -0.5028188928278465
AERIEN;ARRIGL61V.GEO;LIAISON 225kV N0 1 ARRIGHI-VILLENEUVE-ST-GEORGES;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.4304477668, 48.7827846342], [2.4359657371, 48.7798590446]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.7813218394, 2.4332067519500002
AERIEN;ALBERL61MALGO;LIAISON 225kV N0 1 ALBERTVILLE-MALGOVERT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[6.5551256493, 45.5470151471], [6.5595625663, 45.546928751], [6.5633904932, 45.5466071844], [6.5667941112, 45.5463108263], [6.5720166293, 45.5458923773], [6.575666166, 45.5463279049], [6.5779612831, 45.5465874181], [6.5823254896, 45.5471225502], [6.5880311041, 45.5478066868], [6.5902594657, 45.548083358], [6.5945422156, 45.5485663456], [6.6019436137, 45.5512374773], [6.6052306209, 45.5524850678], [6.6087782777, 45.5538009903], [6.6120696275, 45.5549630839], [6.6165453514, 45.5566606932], [6.6240135821, 45.5593559313], [6.6306543657, 45.5617691241], [6.6325478425, 45.5624650987], [6.6394192515, 45.5629836154], [6.6427583825, 45.564429441], [6.6477977524, 45.5665898858], [6.6527927247, 45.5687514732], [6.6591514073, 45.5707232786], [6.6676239851, 45.5733659442], [6.6739290546, 45.5753252443], [6.6798513927, 45.5771578839], [6.6838380202, 45.5784064874], [6.6911702493, 45.5806773187], [6.6947667711, 45.5818066711], [6.699468335, 45.5832548428], [6.7058945913, 45.5852426844], [6.7112969785, 45.586909723], [6.7156553796, 45.5882621099], [6.7192339907, 45.589394943], [6.7239619422, 45.5908719346], [6.7302690041, 45.5928172617], [6.7333328263, 45.5947420926], [6.7367229951, 45.5968001629], [6.7413958077, 45.5997251065], [6.7471068322, 45.603277009], [6.754303794, 45.6077254871], [6.7559553977, 45.6100133287], [6.7573217153, 45.6119392882], [6.7595445573, 45.6150527042], [6.7612864569, 45.6174536987], [6.7647797183, 45.6222941797], [6.7717631318, 45.6247755112], [6.780253389, 45.6236641533], [6.7849545027, 45.6230394632], [6.79041124, 45.6223381859], [6.7915096773, 45.6208731617]], ""type"": ""LineString""}";2;CONTAL61MALGO;LIAISON 225kV N0 1 CONTAMINE-MALGOVERT;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;45.57944882194665, 6.677005916874222
AERIEN;P.JERL61RATIE;LIAISON 225kV N0 1 PORT-JEROME-RATIER;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[0.2025088005, 49.4987499912], [0.206278502, 49.498933458], [0.2107900535, 49.4987282377], [0.2199232559, 49.5039557687], [0.2225350406, 49.5054257607], [0.2237875733, 49.5091406854], [0.2364384742, 49.5135694292], [0.2427032985, 49.512868773], [0.2477139753, 49.5122934392], [0.2532236612, 49.5117957056], [0.2589053551, 49.5114767943], [0.265009481, 49.5103678885], [0.2746149949, 49.5125199946], [0.2819819296, 49.5122243033], [0.2964781121, 49.5116338456], [0.3090982214, 49.5111242406]], ""type"": ""LineString""}";2;P.SEPL61SANDO;LIAISON 225kV N0 1 PONT-SEPT-SANDOUVILLE;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.50950738033973, 0.2542664620060237
AERIEN;JOUX L61ZJOUX;LIAISON 225kV N0 1 BOISSE (LA) - JOUX - MACON;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.7246175389, 46.0099854987], [4.7250565447, 46.0100766361], [4.7289794065, 46.010213736], [4.7350733006, 46.0104283585], [4.7401140795, 46.0106050554], [4.7461005321, 46.010815595], [4.7509150452, 46.0109842221], [4.7537667832, 46.0110841419], [4.7568274194, 46.0110214174], [4.7616418774, 46.0109237009], [4.7678449904, 46.0107959234], [4.7742049027, 46.0106643509], [4.7796881336, 46.0105501729], [4.7855480435, 46.0104280727]], ""type"": ""LineString""}";1;;;;;;;;;;;;;46.010668779056324, 4.755075238565773
AERIEN;MIONSL61MOIRA;LIAISON 225kV N0 1 MIONS-MOIRANS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.9723789886, 45.6699504287], [4.9703800255, 45.6673482362], [4.968163577, 45.6635485038], [4.9664356476, 45.6611289225], [4.963555542, 45.6570755402], [4.9642533819, 45.6541318606], [4.965051788, 45.6506610231], [4.9659058566, 45.6471753715], [4.9668057387, 45.6434149889], [4.967711498, 45.6395383396], [4.968520421, 45.6361086365], [4.9696959608, 45.6311427407], [4.9710151355, 45.6254821323], [4.9718714054, 45.6219243675], [4.9725669563, 45.6188708667], [4.9737638269, 45.6138567148], [4.9746087634, 45.6102866826], [4.9755155445, 45.6026133551], [4.9762529974, 45.5959699739]], ""type"": ""LineString""}";2;MIONSL31VERCH;LIAISON 63kV N0 1 MIONS-VERCHERES (LES);MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;45.63401229798552, 4.970037439738643
AERIEN;CHARPL71ECHAL;LIAISON 400kV N0 1 CHARPENAY - ECHALAS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[4.7206926498, 45.5441550338], [4.7211252695, 45.5434859901], [4.7203027438, 45.5429301418]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.543480748107314, 4.720800806473357
AERIEN;CHARPL72ECHAL;LIAISON 400kV N0 2 CHARPENAY - ECHALAS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[4.7206926498, 45.5441550338], [4.7198197088, 45.5437746645]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.54396484915, 4.7202561793
AERIEN;BLOCAL61LIMEU;LIAISON 225kV N0 1 BLOCAUX - LIMEUX;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[1.7784031134, 49.8027431376], [1.781788366, 49.8039352831]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.80333921035, 1.7800957397000001
AERIEN;H.BORL61P.GAS;LIAISON 225kV N0 1 HTE BORNE - PLESSIS-GASSOT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.4296411247, 49.0455406505], [2.4336126907, 49.0428506761], [2.4345330188, 49.0394388083], [2.4328459783, 49.037038183], [2.4310121552, 49.0353766642]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.04070000170545, 2.4327509182700147
AERIEN;MASQUL61ZBARP;LIAISON 225kV N0 1 MASQUET - SAUCATS - LE BARP;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[-0.9488494788, 44.6200095419], [-0.948049333, 44.6204600258], [-0.9443513192, 44.6226590335]], ""type"": ""LineString""}";1;;;;;;;;;;;;;44.62132652580844, -0.9465959070736231
AERIEN;CHAN6L62REVIG;LIAISON 225kV N0 2 CHANCENAY-REVIGNY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.9955211081, 48.681400186], [4.9931357296, 48.6845181315], [4.9903377612, 48.6881916984], [4.9879547497, 48.6913148548], [4.984927627, 48.695267412], [4.9820749101, 48.6989983399], [4.9807718703, 48.7029517955], [4.9795159283, 48.706723582], [4.9780163511, 48.711205668], [4.9770968838, 48.7139623766], [4.9755489177, 48.7184739825], [4.9741436927, 48.7227366783], [4.9744916171, 48.7260040636], [4.9762484143, 48.7287316573], [4.9778435949, 48.7312073152], [4.9804575922, 48.7352243076], [4.9823497863, 48.7381313555], [4.9845424297, 48.7414975272], [4.9869239572, 48.7450954253], [4.9890472675, 48.7483384984], [4.9907045111, 48.7508417249], [4.9934287573, 48.7549834752], [4.9942179854, 48.7590827381], [4.99495231, 48.7630902242], [4.9954864313, 48.7659908916], [4.996258941, 48.7702460676], [4.9969858167, 48.7742320964], [4.9978135602, 48.779108864], [4.9986856733, 48.7842826462], [4.9996036534, 48.7893017769], [5.000494949, 48.7941873068], [5.00139125, 48.7990557038], [5.0018558899, 48.8015830998], [5.0011338569, 48.8043787208], [5.0004584338, 48.8070467571], [4.9993329904, 48.8115467184], [4.9981186538, 48.8150819084]], ""type"": ""LineString""}";2;CHAN6L31REVIG;LIAISON 63kV N0 1 CHANCENAY - REVIGNY;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;48.746182253602576, 4.98944400950447
AERIEN;DOMLOL72LOUIS;LIAISON 400kV N0 2 DOMLOUP - LOUISFERT (POSTE F);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[-1.4402554763, 47.6857280164], [-1.4413566033, 47.6816564565], [-1.4420300709, 47.6812535091]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.68334125824786, -1.4409452381475463
AERIEN;ROUGEL72TOURB;LIAISON 400kV N0 2 ROUGEMONTIER - TOURBE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[-0.2566102253, 49.1066648187], [-0.261835395, 49.1067142127], [-0.2644427427, 49.10764499]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.10685924543405, -0.2605791150074328
